London Rank 2013 (out of 625),Borough name,Ward Code,Ward name,2013,Life Expectancy,Childhood Obesity,Incapacity Benefit rate,Unemployment rate,Crime rate - Index,Deliberate Fires,Average Capped GCSE and Equivalent Point Score Per Pupil,Unauthorised Absence in All Schools (%),Dependent children in out-of-work families,Public Transport Accessibility,"Homes with access to open space & nature, and % greenspace",Subjective well-being average score
497,Lambeth,E05000425,Larkhall,-5.2,-13.5,-21.6,3.5,-5.9,-26.5,3.6,-3.8,1.1,-14.7,10.1,3.5,1.8
420,Lambeth,E05000424,Knight's Hill,-3.3,-10.8,-2.2,-4.8,-10.6,-11.8,8.3,3.3,-1.8,-8,2.1,-5.2,1.7
331,Lambeth,E05000423,Herne Hill,-1.3,1.5,0.8,-2.3,-9,-6.2,5.4,-3.8,-0.1,-0.6,5.4,-4,-2.8
490,Lambeth,E05000422,Gipsy Hill,-5,-3.4,-17.3,-2.4,-7.8,-12.8,6.4,-11.6,-3.3,-15.6,-0.5,6.6,1.7
560,Lambeth,E05000421,Ferndale,-7.1,-1.9,-26.2,-0.3,-4.5,-47.7,-0.2,-12.1,6.1,-9.7,17.9,-4,-2.8
601,Lambeth,E05000420,Coldharbour,-9.7,-0.8,-4.7,-7.6,-28.7,-41.4,-0.6,-6.9,-4.8,-19.9,11.9,-9.5,-2.8
499,Lambeth,E05000419,Clapham Town,-5.2,-15.9,-7.1,3,0.3,-45.8,-1.4,2.2,3.8,-5.5,9.2,-3.1,-2.8
352,Lambeth,E05000418,Clapham Common,-1.9,-1.4,-5.3,6.2,4.1,-21.1,-2.5,-2.2,4,-0.1,2.3,-3.5,-2.8
391,Lambeth,E05000417,Brixton Hill,-2.8,-10.1,-2.2,6.6,-7.8,-17.1,0.1,-3,0.5,-7.8,8,2.5,-2.8
238,Lambeth,E05000416,Bishop's,1.6,-0.5,-5.7,-0.5,-4.5,2.5,11.4,-1.3,-1.2,-5.6,27.2,-4.2,1.8
20,Kingston upon Thames,E05000415,Tudor,9.9,21.4,13.7,21.1,9.5,9.8,6.6,21.2,17.2,12.1,-10.6,3.1,-6.6
197,Kingston upon Thames,E05000414,Tolworth and Hook Rise,2.6,10.9,3.4,18.4,7.6,6.4,2.4,-3.3,11.9,6,-10.9,-15.7,-6.7
96,Kingston upon Thames,E05000413,Surbiton Hill,6.2,0.3,15.9,14.2,10.1,9.8,2.8,21.2,16.2,8.9,-3.5,-15.3,-6.7
55,Kingston upon Thames,E05000412,St Mark's,7.8,8.5,20.6,21.1,6.7,-2.4,5,13,16.8,12.6,-0.6,-1.1,-6.7
118,Kingston upon Thames,E05000411,St James,5.3,3.7,4.4,10.5,8.1,9,-3.7,21.9,17.4,9.7,-8.1,-2.6,-6.6
89,Kingston upon Thames,E05000410,Old Malden,6.3,19.9,1.6,12.6,9,8.4,9,9.7,12.2,8.3,-7.5,-0.8,-6.6
392,Kingston upon Thames,E05000409,Norbiton,-2.8,-9.9,-5.5,8.3,1,1.1,2.6,-18,-7.5,-2.6,-1.2,5.1,-6.6
209,Kingston upon Thames,E05000408,Grove,2.3,8.9,9.1,11,9.1,-17.6,-6.6,-4.9,13.7,8.4,3.1,0.2,-6.6
45,Kingston upon Thames,E05000407,Coombe Vale,8.4,15.8,14.8,16.9,9.4,11.8,6.7,21.6,15.6,12,-10.3,-7.5,-6.6
87,Kingston upon Thames,E05000406,Coombe Hill,6.3,13,2.3,19.8,8.2,8.3,7,11.2,6.7,9.7,-9.2,5.7,-6.6
140,Kingston upon Thames,E05000405,Chessington South,4.4,11,-7.1,11.8,9,6.1,7,-4.1,9.8,3,-10.1,23.1,-6.7
223,Kingston upon Thames,E05000404,Chessington North and Hook,2.1,11.6,-8.1,9.2,7.5,5.3,6.2,-2.4,9.5,6,-9.8,-2.7,-6.7
38,Kingston upon Thames,E05000403,Canbury,8.5,10.5,16.2,17.9,9.9,5.6,11.4,14.7,15.3,12.1,2,-7.3,-6.6
151,Kingston upon Thames,E05000402,Beverley,4,1.2,6.5,6.6,6.7,-0.8,0.2,17.4,12.8,7.4,-6.7,2.7,-6.6
108,Kingston upon Thames,E05000401,Berrylands,5.8,0.6,21.4,11.1,8.3,9.8,6.6,1.3,17,11.9,-7.2,-4.4,-6.7
82,Kingston upon Thames,E05000400,Alexandra,6.6,18.4,4.3,18.6,9,7.2,6.5,9.9,20.1,11.6,-10.9,-8.5,-6.7
71,Kensington and Chelsea,E05000399,Stanley,7.1,11,0.2,12.8,8.9,4.8,11.4,2.4,-0.7,11.3,13.2,2.2,7.2
517,Kensington and Chelsea,E05000398,St Charles,-5.6,-12,-8.4,-18.1,-11.2,-12.3,6.5,-3,-13.9,-15.2,0,13.6,6.7
109,Kensington and Chelsea,E05000397,Royal Hospital,5.8,8.2,-5.5,9.9,9.6,-9.7,11.4,8.9,-12.6,11.7,8.9,21.9,7.2
41,Kensington and Chelsea,E05000396,Redcliffe,8.4,24.6,4.1,10.6,7,-12.7,11.4,4.5,3,13.4,17.1,13,5.2
9,Kensington and Chelsea,E05000395,Queen's Gate,11,33.1,-5.5,24.1,10.5,3.6,9,-0.7,13.6,16.4,16.2,6.4,5.2
25,Kensington and Chelsea,E05000394,Pembridge,9.5,14.1,-1.1,12.7,7,-35.7,8.4,49.4,16.7,13.6,22.8,-0.1,6.7
372,Kensington and Chelsea,E05000393,Notting Barns,-2.2,1.5,0.6,-18.4,-11.4,-8.5,-0.6,8,0.5,-15.7,2.8,8.4,6.7
182,Kensington and Chelsea,E05000392,Norland,3,16,-21.9,-5.7,0.4,-4.4,11.4,5.4,3.5,1.8,11.7,10.7,6.7
6,Kensington and Chelsea,E05000391,Holland,11.1,38.6,5.7,11.6,6.9,-3.2,11.4,24.8,-7.4,10.8,15.7,13.3,5.2
63,Kensington and Chelsea,E05000390,Hans Town,7.5,24.4,13.5,11.7,8.7,-20,11.4,-10.9,8,9.8,20,6.6,7.2
496,Kensington and Chelsea,E05000389,Golborne,-5.2,-3.8,-9.4,-26.7,-20.1,-12.4,6.4,-2.1,-6.8,-17.5,5,18.5,6.7
152,Kensington and Chelsea,E05000388,Earl's Court,3.9,5,-0.7,-3.5,0.5,-18.4,6.4,24.4,4.7,3.1,23,-2.3,5.2
233,Kensington and Chelsea,E05000387,Cremorne,1.7,16.2,-9.8,-20.4,1,-5.2,11.4,19.1,-11.2,-6.7,6.9,12.2,7.2
12,Kensington and Chelsea,E05000386,Courtfield,10.6,33,-5.5,16.4,7.2,-15.4,11.4,11.6,15,16.7,22.2,7.3,7.2
376,Kensington and Chelsea,E05000385,Colville,-2.3,7.9,-16.1,-14.7,-3,-37.3,11.4,7.8,-5.2,-5.3,11.4,9,6.7
2,Kensington and Chelsea,E05000384,Campden,13.7,31,-5.5,18.1,11.4,-5.8,11.4,30.4,18.9,16.4,21.8,11.7,5.2
7,Kensington and Chelsea,E05000383,Brompton,11.1,22,-5.5,21.2,10.6,1.9,11.4,17.5,6.3,13,21.6,5.6,7.2
30,Kensington and Chelsea,E05000382,Abingdon,9.1,20.6,-6.3,11,6.9,-2,9.1,35.4,-5.4,11.5,19.5,4.1,5.2
493,Islington,E05000381,Tollington,-5.1,1.8,-4.2,-16.4,-7.4,-14.1,-5.5,2.1,-1.4,-14.9,5.3,6,-12.7
564,Islington,E05000380,St Peter's,-7.3,-11.8,-5.7,-6.4,-1.2,-15.9,-3.3,-9.8,-14.1,-17.9,11.1,-5.1,-7.5
423,Islington,E05000379,St Mary's,-3.4,-0.9,-4.2,-5.7,-0.2,-30.9,3.7,-0.3,-9.8,-13.8,21.2,4.5,-4.7
446,Islington,E05000378,St George's,-3.8,1.7,-16.3,-11.7,-5.7,-10.8,6,8.8,-2.9,-8,5.5,0.4,-12.7
430,Islington,E05000377,Mildmay,-3.6,0.1,-5.3,-12.9,-5,-19.7,7.9,-2.7,-0.5,-19.2,16.4,-9.8,7.6
409,Islington,E05000376,Junction,-3.1,-11.7,6.7,-14.9,-4.3,-8.4,2.2,-0.5,-5,-9.4,15.7,5.3,-12.7
503,Islington,E05000375,Holloway,-5.3,-3.8,-10.5,-13.8,-4.2,-11.4,-1.9,1.4,-14.8,-17.5,15.5,1.4,-4.7
485,Islington,E05000374,Hillrise,-4.9,-4.1,-0.1,-14,-6.6,-8.9,0,0.1,-6.9,-14.3,3.1,5,-12.7
220,Islington,E05000373,Highbury West,2.1,-1.6,0,-1.4,-2.2,-1.7,5.5,9.5,6.8,-11.5,13.6,1,7.6
224,Islington,E05000372,Highbury East,2.1,5.4,8.7,0.4,2,-18.4,7.5,3.2,1.6,-1.6,6.3,2.6,7.6
556,Islington,E05000371,Finsbury Park,-7,-13.3,-13.7,-15.5,-12.5,-29.4,2.1,-1.8,-5.2,-20.6,20,-2.1,7.6
353,Islington,E05000370,Clerkenwell,-1.9,12.6,-6,-3,0.1,4.6,7.5,-3.3,-13.5,-16.3,22.3,-20.1,-7.5
487,Islington,E05000369,Canonbury,-5,6.8,-10.6,-12,-4,-16.9,5.8,-5,-21.8,-16,19.3,2.5,-7.5
567,Islington,E05000368,Caledonian,-7.5,-2.7,-12.2,-10.9,-2.7,-5,-10.8,-4.3,-13.7,-19.1,10.8,-14.3,-4.7
455,Islington,E05000367,Bunhill,-4.1,0.2,-7.9,2.9,-3.5,8.3,-13.4,-5.2,-4.9,-22.9,23.7,-18.8,-7.5
486,Islington,E05000366,Barnsbury,-4.9,-8.8,-7.4,-5.6,1,-20.9,5.9,-1,-9.2,-11.1,13.6,-11.3,-4.7
84,Hounslow,E05000365,Turnham Green,6.6,12.5,10.9,10.2,7.4,2.5,1.6,17.7,4.2,5.3,4.5,-2.3,4.2
276,Hounslow,E05000364,Syon,0.5,-13.2,-7.1,-3.7,3.1,-0.8,11.4,5.4,1.3,-3.1,-1,9.7,4.2
97,Hounslow,E05000363,Osterley and Spring Grove,6.1,9.1,8.6,13.2,6.6,5.1,2.7,18,4.7,8.9,-7.3,13,-8.9
361,Hounslow,E05000362,Isleworth,-2,0.2,-3.1,-8.1,1.8,-1.8,5.7,6.7,-2.9,-7,-9.9,2.1,-7.7
388,Hounslow,E05000361,Hounslow West,-2.7,-9.4,-9.2,0.5,1.4,-10.7,2.7,7.8,-2.8,1.2,0.8,-7.1,-7.7
165,Hounslow,E05000360,Hounslow South,3.7,19.3,-1.5,10.1,6.5,1,1.5,21.2,-0.6,10.4,-9.1,-7.1,-7.7
339,Hounslow,E05000359,Hounslow Heath,-1.5,9.4,-13,7.6,-1.5,-5.1,-3.9,3.5,-7.4,-1,-4,5.3,-7.7
261,Hounslow,E05000358,Hounslow Central,0.8,8.6,-2.6,5.9,3.7,-30,4.1,11.1,-0.6,5.8,9.6,2.2,-7.7
465,Hounslow,E05000357,Heston West,-4.4,2.6,-15.2,-2,-5.4,-6,-8.6,2.7,-2.1,-5.3,-10.3,5.9,-8.9
266,Hounslow,E05000356,Heston East,0.8,10.2,-8.7,7.4,2.2,0.4,0.4,7.9,2,-2.4,-10.4,9,-8.9
418,Hounslow,E05000355,Heston Central,-3.2,-1.5,-16.1,-1.5,1.7,-2.8,-1.5,1.8,-5.2,0.9,-6.3,0.6,-8.9
398,Hounslow,E05000354,Hanworth Park,-2.9,1.4,-12.6,2.9,4.1,0.4,-13.7,-9.3,-0.5,-0.9,-8.5,9.9,-7.8
531,Hounslow,E05000353,Hanworth,-6,4.7,-14.9,-7.1,-4,-7.1,-11,-6,-11.3,-9.6,-8.4,11,-7.8
488,Hounslow,E05000352,Feltham West,-5,6,-13,7.8,2.2,-6,-28,-6.2,-7.1,-1.7,-9.7,3.7,-7.8
406,Hounslow,E05000351,Feltham North,-3,-16.7,-16.8,3.5,1.9,3.7,3.6,0.5,-5.1,-4.3,-6.1,7.7,-7.8
431,Hounslow,E05000350,Cranford,-3.6,2.1,-13.5,-3,-2.7,-2.4,4.1,5.3,-4.8,-6.7,-9.7,-3.1,-8.9
107,Hounslow,E05000349,Chiswick Riverside,5.9,16.3,4.6,10.3,7.3,-10.3,7.4,10.7,13.7,7.6,-6.7,5.5,4.2
67,Hounslow,E05000348,Chiswick Homefields,7.2,8.5,-2.6,15,8.8,-4.3,-4.6,22.3,16.2,8.8,-1.1,15.3,4.2
294,Hounslow,E05000347,Brentford,0.1,6.8,-8.9,-2,3.4,0.7,-6.8,2.1,4.2,-7.3,-4,8.9,4.2
519,Hounslow,E05000346,Bedfont,-5.6,-6.6,-11.1,2.8,-1,3.2,-24.3,-3.3,-10.3,-6,-11.7,8.5,-7.8
566,Hillingdon,E05000345,Yiewsley,-7.4,1.1,-7.7,-4.5,0.2,-4.6,-24.3,-19.3,-11.6,-7.8,-8.8,-4.3,2.9
495,Hillingdon,E05000344,Yeading,-5.1,1.8,-8.7,-3.3,-2.2,-11.6,-0.1,1.7,-1.9,-4.1,-13.3,3.1,-23
110,Hillingdon,E05000343,West Ruislip,5.7,4,16.5,8.7,9.7,-2.1,11.4,1.1,15.5,10,-11.5,5.4,0.1
600,Hillingdon,E05000342,West Drayton,-9.5,-8.6,-9,-7.1,-0.3,-8.9,-21,-11.7,-16.1,-10.8,-9.7,-13.8,2.9
316,Hillingdon,E05000341,Uxbridge South,-0.7,-0.6,3.9,5.8,3.8,5.7,-4.1,4.3,1,-1.4,-9.1,-8.8,-9
222,Hillingdon,E05000340,Uxbridge North,2.1,7.6,2.2,8.4,6.8,-3.6,0.5,4.9,10.5,6.2,-10.2,1.2,-9
569,Hillingdon,E05000339,Townfield,-7.6,-6.3,-9.1,-5.6,-7.7,-18.6,-4.4,-3.4,-1.8,-9.3,-5.2,3.1,-23
150,Hillingdon,E05000338,South Ruislip,4,2.2,1.7,12.3,4.9,5.4,-4.8,3.8,11,5.7,-8.8,15,0.1
380,Hillingdon,E05000337,Pinkwell,-2.5,6.1,-8,2.7,-3.1,-4.4,-6.6,0,-4.5,-2.6,-7.7,-4.3,2.9
128,Hillingdon,E05000336,Northwood Hills,4.8,12.1,2.7,4.5,7.4,5.7,1.7,9.1,14.4,6.8,-12.4,5.5,0.1
69,Hillingdon,E05000335,Northwood,7.2,12.2,10.1,9.5,8,5,9.2,10,10.8,11.7,-11,10.4,0.1
77,Hillingdon,E05000334,Manor,6.8,10.4,10.3,15.3,9.3,3.2,7.5,12.9,18.5,8.5,-6.4,-8.3,0.1
28,Hillingdon,E05000333,Ickenham,9.2,17.7,6.5,15.8,10.9,8.2,-1.5,18.1,23.8,13.4,-12.2,9.6,0.1
249,Hillingdon,E05000332,Hillingdon East,1.1,-0.5,-1.1,6.1,2.4,-1.3,-0.6,8.3,12.3,3.2,-14.9,8.8,-9
387,Hillingdon,E05000331,Heathrow Villages,-2.7,-0.3,-11.7,10.2,4,4.5,-17.4,-3.2,-5.7,-2,-8.4,-5,2.9
458,Hillingdon,E05000330,Harefield,-4.2,-4.3,-3.6,-9.5,6.7,3.7,-42.8,-0.1,3.3,2.9,-16.7,10.4,0.1
32,Hillingdon,E05000329,Eastcote and East Ruislip,8.9,22.7,12.3,11.8,9.2,4.8,5.8,15.3,21.1,10.2,-14.9,7.9,0.1
298,Hillingdon,E05000328,Charville,0,1.6,-7.7,8.7,3.5,-0.1,4.3,4.8,5.7,2.5,-9.8,9.4,-23
91,Hillingdon,E05000327,Cavendish,6.3,10.7,4,14.4,8.3,9.2,3.7,15.3,19.8,10.6,-12,-8.8,0.1
370,Hillingdon,E05000326,Brunel,-2.2,-3.4,-2.8,3.6,5.6,0.2,-2.9,0.2,-5.7,0.3,-9.6,-2.4,-9
573,Hillingdon,E05000325,Botwell,-7.8,-12.9,-9.5,-4.3,-7,-0.4,-26.9,1.4,-2.8,-4.5,-5.2,2,-23
489,Hillingdon,E05000324,Barnhill,-5,-0.8,-16.2,-3,-2.8,-10.4,-0.3,7.7,-0.8,-3.7,-9.6,2.9,-23
72,Havering,E05000323,Upminster,7,6.4,11.8,13.8,10.6,4.3,-10,18.1,20,15.1,-13.2,3.7,3.7
210,Havering,E05000322,Squirrel's Heath,2.3,7.7,-0.8,7.5,3.8,2.4,-0.7,8.2,14.5,5.9,-8.4,-24.7,12.3
427,Havering,E05000321,South Hornchurch,-3.5,-3.8,-9.4,0.2,-6.1,-4,-14.6,-10.7,2.2,-2.1,-9.2,12.2,3.7
199,Havering,E05000320,St Andrew's,2.5,4.6,3,2.6,4.5,-0.3,-3.9,7.2,13.3,5.8,-4.2,-14.7,12.3
332,Havering,E05000319,Romford Town,-1.3,6.7,-3.3,2.3,0.2,-14.8,-1.9,-5.9,7.9,-1.5,3.1,-20.9,12.3
389,Havering,E05000318,Rainham and Wennington,-2.8,5.4,-10.3,-1.2,-0.1,-5.4,-11.9,-13.1,7.5,-0.8,-12.6,5.9,3.7
122,Havering,E05000317,Pettits,5.1,7.3,13.2,4.6,6.1,4.6,2.5,8.7,13.2,7,-11.2,2.2,2.8
267,Havering,E05000316,Mawneys,0.7,13.2,-1.7,-0.7,1.3,2.7,7.8,-3.4,0.5,-0.6,-9.3,-4.3,2.8
143,Havering,E05000315,Hylands,4.3,16,8.6,9.9,5.9,-1.3,-0.9,2.4,13.4,8.7,-12,-10.7,12.3
614,Havering,E05000314,Heaton,-11.1,-9.4,-13,-25.7,-11.3,-6.1,-26.1,-10.2,-8.8,-13.7,-11.9,-0.1,2.8
429,Havering,E05000313,Havering Park,-3.5,-8,-1,-9,-3.2,2,-2.7,-10.7,-10.3,-8.6,-12.1,18.3,2.8
263,Havering,E05000312,Harold Wood,0.8,2.4,2.6,-6.2,1.1,1.5,-4.3,8,5.6,3.1,-9.7,2.7,2.8
131,Havering,E05000311,Hacton,4.7,7.4,7.8,9.3,5.9,5.5,5.8,1.6,17,10.1,-10,-7.4,3.7
618,Havering,E05000310,Gooshays,-11.4,-9.2,-12.9,-29.6,-11,-10.5,-37.6,-13.6,-13.4,-12.1,-8.5,19,2.8
127,Havering,E05000309,Emerson Park,4.9,1.9,1.5,9.1,8.4,3.3,7.5,15.4,17.8,11.4,-13,-17,12.3
273,Havering,E05000308,Elm Park,0.5,4.8,-3.9,5.3,-0.1,1,5.9,-8.2,-1.5,-1.9,-8.3,9.6,3.7
58,Havering,E05000307,Cranham,7.7,20.2,4.2,13.1,7.5,9.5,4.1,6.9,15.3,10.5,-10.6,7.6,3.7
349,Havering,E05000306,Brooklands,-1.7,-8.5,-9.8,0.8,0.8,1.1,5.6,-8.4,2.4,-3.8,-6.3,-6.6,12.3
180,Harrow,E05000305,West Harrow,3,15.1,-1.7,7.1,3.3,8,7,10.4,10.9,4.3,-4.4,-10.7,-13
461,Harrow,E05000304,Wealdstone,-4.3,-0.6,-1.6,3.7,-4.5,-1.2,11.4,-3.8,-2.8,-2.2,-3.4,-32.7,-14
264,Harrow,E05000303,Stanmore Park,0.8,15.9,9.3,-4.2,6.3,2.7,-0.7,6.4,3.6,0.7,-12.1,-9.6,-8.9
272,Harrow,E05000302,Roxeth,0.6,8.5,-4.7,7.4,0.7,-5.8,7.5,5.4,10.1,4.7,-5.5,-8.5,-13
367,Harrow,E05000301,Roxbourne,-2.1,10.5,-6.5,-4.9,-0.6,1.1,0.8,5.2,4.9,-2.2,-5.3,-14.9,-13
133,Harrow,E05000300,Rayners Lane,4.7,14.8,6,10,6.4,5.2,5.3,20.6,10,10.2,-4.2,-15,-13
191,Harrow,E05000299,Queensbury,2.7,7,-4.5,6.2,5.9,5.3,11.4,14.1,14.5,3.8,-8.1,-14.6,-8.9
35,Harrow,E05000298,Pinner South,8.6,32.7,2.9,14.4,9.5,9.7,9.2,20.8,23.7,13.1,-11.5,-7.8,-13
241,Harrow,E05000297,Pinner,1.5,18.3,7.9,0.1,6.9,4.1,4.6,5.3,8.2,8.1,-13.8,-18.7,-13
320,Harrow,E05000296,Marlborough,-0.8,9.5,0.1,3.7,-3,-0.2,0.5,5.4,4.6,-1.7,0.5,-15.6,-14
195,Harrow,E05000295,Kenton West,2.6,12.4,-1.7,8.8,6.3,4.5,5.3,4.7,12.9,9.7,-6.1,-16.9,-8.9
239,Harrow,E05000294,Kenton East,1.5,13.5,-5.5,3.4,4.1,6,5.3,4.8,11.6,5,-8.8,-12.1,-8.9
178,Harrow,E05000293,Headstone South,3.2,12.1,-2,6.8,4.2,4.3,5.3,13,14.4,6.6,-4.7,-9.2,-13
93,Harrow,E05000292,Headstone North,6.2,23.6,-3.3,12.7,8.2,3.6,6.9,15,16.8,12.5,-7.6,-0.8,-13
208,Harrow,E05000291,Hatch End,2.4,15.2,-2.6,11.5,8.7,5.1,2.9,16.5,8.8,7.9,-10.8,-20.8,-14
329,Harrow,E05000290,Harrow Weald,-1.2,7.3,-1.2,3.8,1.2,0.4,-6.5,10.6,-3.1,-0.8,-7.1,-5.4,-14
221,Harrow,E05000289,Harrow on the Hill,2.1,10.8,-1.4,5.9,4.8,2.5,7.7,4.7,8.5,8.4,-4.5,-7.8,-14
390,Harrow,E05000288,Greenhill,-2.8,3.1,-1.9,-2.7,0,-8.7,2.4,-7.1,1.7,1.7,5.6,-13.3,-14
227,Harrow,E05000287,Edgware,1.9,15.4,-5.3,5.8,2.1,-1.9,11.4,8.8,10.5,4.8,-6.3,-13.5,-8.9
117,Harrow,E05000286,Canons,5.3,12.4,1.5,12.5,6.1,5.6,7.8,7.1,11.4,8.7,-7.9,7.5,-8.9
138,Harrow,E05000285,Belmont,4.5,19.3,4,12.3,6.8,4,11.4,15.8,15.4,9.7,-13,-22.4,-8.9
450,Haringey,E05000284,Woodside,-3.9,2.4,-5.7,-8.2,-11.3,-1.7,-2.4,-1.2,-17,-9.1,6.4,9.4,-8.2
619,Haringey,E05000283,White Hart Lane,-11.8,-4.6,-18.9,-19.3,-27.3,-9.1,-13.8,-4.2,-18.8,-16.7,-3.4,2.9,-8.2
515,Haringey,E05000282,West Green,-5.6,7.2,-14.1,-12.2,-19.6,-6.5,1.3,-5.5,-8.6,-13.2,2,13.7,-11.8
574,Haringey,E05000281,Tottenham Hale,-7.9,-0.1,-19.8,-8.9,-19,-11.6,5.7,-7.7,-11.9,-19.6,6.3,4.3,-11.8
602,Haringey,E05000280,Tottenham Green,-9.8,-9.9,-17.9,-15,-21.1,-21.6,8.4,-13.4,-15.4,-11.7,14.8,-2.5,-11.8
295,Haringey,E05000279,Stroud Green,0.1,0.3,1.3,1.5,-1.1,-8.6,1.8,13.1,-3.5,0,5.8,-0.2,-9.3
452,Haringey,E05000278,Seven Sisters,-4,4.6,-14.8,-7.7,-14.9,-6.6,5.7,-1.3,-9.6,-2.7,6.4,5.2,-11.8
507,Haringey,E05000277,St Ann's,-5.4,0.7,-5.7,-1.5,-17.9,-6.4,3.9,-2,-22.5,-9.3,1.1,3.7,-9.3
622,Haringey,E05000276,Northumberland Park,-12.9,-4,-22.1,-24.7,-46.1,-12.7,0.5,-8.6,-10.5,-20.2,2.6,-0.7,-8.2
615,Haringey,E05000275,Noel Park,-11.1,0.5,-21.4,-12.2,-19.3,-37,1.8,-10.4,-24.7,-14.1,16.4,-5,-8.2
49,Haringey,E05000274,Muswell Hill,8.1,16.6,20.5,13.5,6.4,-6.7,7.2,25.7,8.9,12.1,-3.8,5.8,-9.3
383,Haringey,E05000273,Hornsey,-2.5,7.2,2.7,-5.6,-9.7,-4.2,6,-2.4,-0.7,-6.2,-3,-5,-9.3
164,Haringey,E05000272,Highgate,3.7,18,3.2,11.7,5.5,-2.8,7.5,-4.1,-5.6,11.1,1.3,7.5,-9.3
448,Haringey,E05000271,Harringay,-3.8,6.3,-19.3,-0.8,-11.2,-26.5,8,0.6,-11.2,-4.5,11.2,10.6,-9.3
95,Haringey,E05000270,Fortis Green,6.2,6.8,16.3,9.3,5.8,-4.9,5.9,23,9.6,9.4,-4.7,7.1,-9.3
75,Haringey,E05000269,Crouch End,6.8,16,18.5,13.6,6,-6.2,11.4,14,10.6,13.3,-2.8,-3.4,-9.3
606,Haringey,E05000268,Bruce Grove,-10,-0.2,-17.6,-13.1,-28.3,-12.2,9.8,-9,-23.1,-13.9,5.1,-6.2,-11.8
402,Haringey,E05000267,Bounds Green,-2.9,1.1,-7.1,-4,-9.1,-12.7,8.1,-1.5,-9.2,-6.1,8.1,5.5,-8.2
46,Haringey,E05000266,Alexandra,8.3,10.8,17.4,15.3,5.2,-9.8,11.4,24.3,15.9,10,-3.7,12.3,-9.3
533,Hammersmith and Fulham,E05000265,Wormholt and White City,-6,7.1,-18.2,-14.1,-13.6,-9.7,6.3,-10.9,-7.2,-20.3,-3.8,2.8,9.6
277,Hammersmith and Fulham,E05000264,Town,0.5,14.3,-10.4,8.7,4.2,-7.3,11.4,-6.1,-7.3,0.1,6.1,-11.3,3.4
343,Hammersmith and Fulham,E05000263,Shepherd's Bush Green,-1.5,-5.6,-3.8,-9.9,-7.4,-26.7,7.7,6.8,2.2,-8.3,12.8,4.2,9.6
255,Hammersmith and Fulham,E05000262,Sands End,0.9,6.2,-14.9,6.2,3.1,1.2,9.6,5.2,-2.5,-6.5,-2.7,2.4,3.4
260,Hammersmith and Fulham,E05000261,Ravenscourt Park,0.8,-6.8,5.2,-3.9,5.9,-11.1,7.1,10.6,-0.9,-1.5,1.9,-6.2,9.6
201,Hammersmith and Fulham,E05000260,Parsons Green and Walham,2.5,9,-15.7,7.6,7.1,-12.1,7.1,6.5,-3.4,8.1,6.4,6,3.4
23,Hammersmith and Fulham,E05000259,Palace Riverside,9.7,14.8,17,13.8,10.3,-3.4,8.3,16,5,12.1,-0.3,19.8,3.4
310,Hammersmith and Fulham,E05000258,North End,-0.5,-2.9,-14.7,0.7,1.4,-2.9,5.7,11.5,-5.4,-10.6,10.4,-2.1,3.4
185,Hammersmith and Fulham,E05000257,Munster,2.9,7.8,1.4,7.5,7.4,-4.1,11.4,-4.9,6.3,7.8,-0.5,-8.7,3.4
407,Hammersmith and Fulham,E05000256,Hammersmith Broadway,-3,-9.3,-5.1,-10.3,-1,-8.2,5.7,-2.4,-7.2,-6.3,15.7,-11.3,3.4
252,Hammersmith and Fulham,E05000255,Fulham Reach,1,0.1,-10.8,1.2,4.3,-2.4,7.4,7.3,-1.1,-2.3,2.9,2,3.4
309,Hammersmith and Fulham,E05000254,Fulham Broadway,-0.4,-7.3,-3.5,1.1,1.5,-14.7,11.4,5.1,-2.2,-4.8,11.4,-6.6,3.4
421,Hammersmith and Fulham,E05000253,College Park and Old Oak,-3.3,-8.3,-7.8,-6.3,-8.3,5.1,-4.8,-12.9,-5.2,-18.4,8,9.3,9.6
146,Hammersmith and Fulham,E05000252,Avonmore and Brook Green,4.3,5.2,-8.9,2.5,2.2,5.5,9.5,18.8,0.4,4.4,16.2,-14.3,9.6
443,Hammersmith and Fulham,E05000251,Askew,-3.8,4.7,-8.8,-8.7,-4.1,-12.5,3.3,0.1,-14.5,-4.9,-1.3,-8.3,9.6
308,Hammersmith and Fulham,E05000250,Addison,-0.4,6.3,-9.5,-1.3,2.2,-17.2,9.4,-6.4,-1.1,-1.6,19.6,-14.6,9.6
611,Hackney,E05000249,Wick,-10.6,-14.1,-21.6,-22,-19.8,-16.9,-2,-14.2,-4.7,-22.1,1.2,17.2,-7.8
593,Hackney,E05000248,Victoria,-9.1,-6.9,-12.6,-14.4,-20.5,-23.8,-5.6,-7.3,-3.1,-14.1,6.5,0.1,-7.8
357,Hackney,E05000247,Stoke Newington Central,-1.9,5.1,-6.5,0,-8.9,-17.2,7.8,7.4,-0.7,-6.2,10.6,-2.9,-11.8
581,Hackney,E05000246,Springfield,-8.5,-1.1,-12.1,-23.2,-16.1,-2.8,0.4,-17.7,-5.7,-3.5,-3.8,-3.5,-12.6
550,Hackney,E05000245,Queensbridge,-6.7,-0.5,-11.6,-7,-21.8,-30.5,1.6,5.7,-3.5,-13.5,7.1,-3.2,-3.3
