London Rank 2013 (out of 625),Borough name,Ward Code,Ward name,2013,Life Expectancy,Childhood Obesity,Incapacity Benefit rate,Unemployment rate,Crime rate - Index,Deliberate Fires,Average Capped GCSE and Equivalent Point Score Per Pupil,Unauthorised Absence in All Schools (%),Dependent children in out-of-work families,Public Transport Accessibility,"Homes with access to open space & nature, and % greenspace",Subjective well-being average score
111,Bexley,E05000078,Longlands,5.7,3.3,2,8,7,8.4,4.8,10.6,10.4,9.4,-8,4.1,8.3
246,Bexley,E05000077,Lesnes Abbey,1.4,8.2,-7.4,2.6,-0.5,-4.1,-4.7,7.9,7.8,-1.1,-7.1,7.1,7.6
121,Bexley,E05000076,Falconwood and Welling,5.1,9.6,-7.3,17.7,6.4,0,11.4,20.7,8.3,9.7,-9.9,-13.9,8.6
425,Bexley,E05000075,Erith,-3.4,3.9,-16.3,0.9,-3.9,-3,-23.9,1,-2.4,-6.7,-8.7,10.2,7.6
196,Bexley,E05000074,East Wickham,2.6,9,-8.5,5.5,2.7,1.8,9.3,10,5.1,0.4,-9.4,-3.5,8.6
132,Bexley,E05000073,Danson Park,4.7,5.2,-5.2,10.2,5.9,-0.3,7.2,13.8,4.2,4.3,-6,8.7,8.6
265,Bexley,E05000072,Cray Meadows,0.8,3.7,-13,-5.9,3.2,6.4,1.2,3.7,2.9,-6.4,-10.4,15.6,8.3
322,Bexley,E05000071,Crayford,-0.9,3.7,-2,2.2,0.8,4.5,-4.4,0.1,-3.8,-4.1,-12.3,-4.3,8.3
436,Bexley,E05000070,Colyers,-3.7,2.6,-14.4,0.8,-3.4,3.3,-0.9,-9.5,2.9,-3.7,-12.3,-17.6,7.6
158,Bexley,E05000069,Christchurch,3.8,2.6,7.8,6.2,5.6,-5.1,-3,16.7,7.8,5.1,-2.5,-4.2,8.6
88,Bexley,E05000068,Brampton,6.3,17.9,-2,6.4,8.3,6.9,2.7,19.2,17.7,10.9,-7.9,-12.5,8.6
62,Bexley,E05000067,Blendon and Penhill,7.5,14.7,2.8,15.2,8.2,6,9.3,13.2,11.8,11.9,-12.2,1.6,8.3
